point_id,visit_day,cluster_id,order_in_route,manager,lat,lon
ID73,1,0,0,1,56.2940677477067,44.05489628989046
ID176,1,0,1,1,56.31465079597417,44.05543756221199
ID62,1,0,2,1,56.298976587334856,44.04985276479101
ID243,1,0,3,1,56.31970930277721,44.06221287415218
ID495,1,2,4,1,56.103195734418186,43.49084628023591
ID611,1,2,5,1,56.1242461772118,43.526183727586826
ID39,1,3,6,1,54.915020661152255,43.33391508616467
ID437,1,4,7,1,56.34880991321234,43.903631829109
ID436,1,4,8,1,56.344183126420376,43.89078951793397
ID629,1,5,9,1,55.9428802385322,43.06997608026611
ID628,2,5,0,1,55.95255610784616,43.0564770530442
ID8,2,6,1,1,55.31795946915324,42.0840733058196
ID3,2,7,2,1,55.3747863414702,43.83298324255199
ID1,2,7,3,1,55.37188354168151,43.8468777470468
ID154,2,8,4,1,56.26028343682171,43.458245363812814
ID236,2,8,5,1,56.25453424686702,43.43008502148657
ID237,2,8,6,1,56.25311312962311,43.45563599169657
ID122,2,8,7,1,56.25405471508904,43.46939757721552
ID551,2,9,8,1,56.49281778060656,43.61285027851453
ID447,2,9,9,1,56.4905230958516,43.59826869003599
ID548,3,9,0,1,56.49563734625439,43.59434649174717
ID91,3,10,1,1,56.18918256869496,44.12441453609866
ID89,3,10,2,1,56.21295641229598,44.09928874624665
ID186,3,10,3,1,56.2007661999716,44.12291325112319
ID204,3,11,4,1,56.20490182177274,43.87985891461944
ID429,3,11,5,1,56.23138979000159,43.88810963360714
ID430,3,11,6,1,56.23939048655462,43.89000049947983
ID289,3,11,7,1,56.22668081488916,43.88211507346136
ID7,3,12,8,1,55.54820044485041,42.064568361241726
ID454,3,13,9,1,56.3811059075389,43.78526488070986
ID455,4,13,0,1,56.38570025614517,43.78461637835942
ID142,4,14,1,1,56.20491749680045,42.67393174815616
ID78,4,15,2,1,56.2384920805448,43.99496704400958
ID210,4,15,3,1,56.2416602808957,43.98917600824582
ID75,4,15,4,1,56.24462589529493,43.98753228059647
ID265,4,16,5,1,56.27215478764281,43.9405942398346
ID269,4,16,6,1,56.29324728247546,43.95443889746035
ID399,4,16,7,1,56.28204445498159,43.95302854965898
ID397,4,16,8,1,56.29630315802382,43.949675540955866
ID268,4,16,9,1,56.2866843537488,43.96066719216095
ID374,5,16,0,1,56.27392713354773,43.93748342853532
ID377,5,16,1,1,56.268817535146,43.94298589361557
ID373,5,16,2,1,56.2736089755836,43.94147984714953
ID163,5,17,3,1,56.2249099413489,43.18145376930696
ID162,5,17,4,1,56.22572771001899,43.21487243646705
ID119,5,18,5,1,56.13163053728663,44.19261222027737
ID117,5,18,6,1,56.13428968829,44.200347481455736
ID120,5,18,7,1,56.13232520429999,44.19429078499166
ID218,5,18,8,1,56.14020168391199,44.1958453106506
ID598,5,19,9,1,56.33517663539996,44.130257654324666
ID504,6,19,0,1,56.34684788503567,44.089224134991085
ID600,6,19,1,1,56.36488774696921,44.11738034572197
ID505,6,19,2,1,56.33131918229858,44.12536292273242
ID449,6,20,3,1,56.64169947655544,43.404240716910856
ID549,6,20,4,1,56.63944275072793,43.39706548702315
ID574,6,21,5,1,56.360504196377065,43.84029965081679
ID524,6,21,6,1,56.36312440424612,43.84311453364421
ID446,6,21,7,1,56.362103354629326,43.84266759751884
ID11,6,22,8,1,55.326100257752046,42.178335814181445
ID16,6,22,9,1,55.34415787768575,42.15011289130573
ID6,7,22,0,1,55.31795527891948,42.15403273082008
ID29,7,22,1,1,55.33663344306672,42.16636258483065
ID35,7,22,2,1,55.31780148063839,42.15159717352053
ID404,7,23,3,1,56.286537353809045,43.88128225926667
ID345,7,23,4,1,56.2854298760079,43.89500414633579
ID394,7,23,5,1,56.27779109499296,43.89421520612601
ID389,7,23,6,1,56.27028378282191,43.89008470907804
ID326,7,23,7,1,56.28637292388907,43.90058479675001
ID401,7,23,8,1,56.28983529114801,43.89901788421861
ID393,7,23,9,1,56.28111413524162,43.8965106671692
ID390,8,23,0,1,56.273192212774,43.89248689563474
ID102,8,24,1,1,56.24118791507383,43.50433574306533
ID193,8,24,2,1,56.24453627290068,43.50448482860536
ID195,8,24,3,1,56.24194407107552,43.5215934670748
ID98,8,24,4,1,56.24344952419226,43.512914253943066
ID99,8,24,5,1,56.24151847218733,43.49690761660904
ID157,8,24,6,1,56.23997934916671,43.50589051186411
ID410,8,25,7,1,56.243668126023465,43.81773501786304
ID415,8,25,8,1,56.252965555962966,43.83867351619615
ID370,8,25,9,1,56.24066717648812,43.83849073669773
ID317,9,25,0,1,56.25210001423457,43.84387314042062
ID314,9,25,1,1,56.2488232033641,43.82508972711385
ID414,9,25,2,1,56.24973759600679,43.83510331071516
ID510,9,26,3,1,55.96911494265795,43.10074797257022
