point_id,manager,lat,lon,n_visits
ID1,0,55.371883541681505,43.8468777470468,1
ID2,0,55.35838119059491,43.84506133794914,1
ID3,0,55.3747863414702,43.83298324255199,1
ID4,0,55.42343035112666,43.81319018376781,1
ID5,0,55.3812871333742,43.81145158954393,1
ID6,1,55.31795527891948,42.15403273082008,1
ID7,1,55.54820044485041,42.064568361241726,1
ID8,1,55.31795946915324,42.0840733058196,1
ID9,1,55.55740683858876,42.19501625808679,1
ID10,1,55.57798722630916,42.03376414964232,1
ID11,1,55.326100257752046,42.178335814181445,1
ID12,1,55.38529552804521,42.114015316813216,1
ID13,1,55.31360980116675,42.1617434415603,1
ID14,1,55.353394390829514,42.1604651722134,1
ID15,1,55.54830808968011,42.04996618435897,1
ID16,1,55.34415787768575,42.15011289130573,1
ID17,1,55.329463938810235,42.21825280463814,1
ID18,1,55.58989575195984,42.00295403913669,1
ID19,1,55.33137096828158,42.16406086141772,1
ID20,1,55.55330390775581,42.20486959243998,1
ID21,1,55.54331798668023,42.211411889167834,1
ID22,1,55.56777405475825,42.04072710227639,1
ID23,1,55.60171189098552,42.037755104595384,1
ID24,1,55.55305140276421,41.99645552679503,1
ID25,1,55.32441670762539,42.16471662647033,1
ID26,1,55.33063508254237,42.202598535924984,1
ID27,1,55.55519276693999,42.00113339469259,1
ID28,1,55.33832740008441,42.165481867385445,1
ID29,1,55.33663344306672,42.16636258483065,1
ID30,1,55.32768378349463,42.06242953831091,1
ID31,1,55.541746730934214,42.205918756201285,1
ID32,1,55.56534590604467,42.06375597294895,1
ID33,1,55.56332895905705,42.037736151570506,1
ID34,1,55.56396186603505,42.03939155082257,1
ID35,1,55.31780148063839,42.15159717352053,1
ID36,1,55.43537250757257,42.52316343128228,1
ID37,1,55.427609151426935,42.49939828980064,1
ID38,2,54.912067483988224,43.283423929747656,1
ID39,2,54.915020661152255,43.33391508616467,1
ID40,2,54.931692732390275,43.3254652936737,1
ID41,2,54.957810374922424,43.323036604822846,1
ID42,2,54.916421703181214,43.2967455051261,1
ID43,2,54.92198699912954,43.348848400141506,1
ID44,2,54.92316392787323,43.32250301082635,1
ID45,2,54.90641484467886,43.2800617448932,1
ID46,2,54.922194091720904,43.31959978972689,1
ID47,2,54.922935645557935,43.35049842868335,1
ID48,2,54.937129964971746,43.3040725113475,1
ID49,0,56.3081804975416,43.99060816753116,2
ID50,0,56.30004245568076,43.99741144155358,2
ID51,0,56.2856075263264,43.99956119997658,2
ID52,0,56.28465326757238,43.999825233775525,2
ID53,0,56.29002442187375,44.012406714645685,2
ID54,0,56.29190060338504,44.026259392778535,2
ID55,0,56.29998959121092,44.03485641651813,2
ID56,0,56.3087786338627,44.03149422996677,2
ID57,0,56.31113578200431,44.0384041864367,2
ID58,0,56.30999916099228,44.04022397312191,2
ID59,0,56.31283806827887,44.02058990199815,2
ID60,0,56.30646110454584,44.018332776462834,2
ID61,0,56.30600893946364,44.0239619427136,2
ID62,0,56.298976587334856,44.04985276479101,2
ID63,0,56.290673289612585,44.067094632127656,2
ID64,0,56.27243066851733,44.08848406941079,2
ID65,0,56.271838505558875,44.08611319653903,2
ID66,0,56.27607221880182,44.08121320471789,2
ID67,0,56.303687482309265,44.060671878790586,2
ID68,0,56.30822455418038,44.06158781833284,1
ID69,0,56.30865577138126,44.05717836597057,1
ID70,0,56.31124453037473,44.0516261819221,2
ID71,0,56.31801533972723,44.03195439503118,2
ID72,0,56.32024735973427,44.03460529574741,2
ID73,0,56.2940677477067,44.05489628989046,2
ID74,0,56.278138436937674,44.03944616978645,2
ID75,0,56.24462589529493,43.98753228059647,2
ID76,0,56.244868585656576,43.99595531977031,2
ID77,0,56.23913441478052,43.99656689672101,1
ID78,0,56.2384920805448,43.99496704400958,2
ID79,0,56.2415388606825,44.01006177487358,2
ID80,0,56.236934931991584,43.98787973638756,2
ID81,0,56.25088280940134,43.98028766668675,2
ID82,0,56.245837389405246,43.98102680390521,2
ID83,0,56.2564573900092,43.98307729166574,2
ID84,0,56.25716855773256,43.973694652063585,2
ID85,0,56.30610734595009,44.06052534848765,2
ID86,0,56.26511796076165,44.09119564664105,2
ID87,0,56.24936010460922,44.0959120960075,2
ID88,0,56.231997857289485,44.09395854231418,1
ID89,0,56.21295641229598,44.09928874624665,2
ID90,0,56.19607932895915,44.12295531019916,2
ID91,0,56.18918256869496,44.12441453609866,2
ID92,0,56.18851019103497,44.12252352412147,2
ID93,0,56.23365089699587,43.96610281912616,2
ID94,0,56.22510426567484,43.950920271207586,2
ID95,0,56.228289669337165,43.94044269409792,2
ID96,0,56.24299824690845,43.96528335665007,2
ID97,0,56.20285705047222,43.88030266668006,2
